Field,Cultivar,N_Rate,chemical_TRT,Plot,Ear_num,Ear_length,Cob_length,Kernel _row,row_ear,kernel_ear,cob_diameter,100Kernel_weight_gr
F7 Corn Nitrogen,P15784AM,180,0,5,5,21.0,16.0,31,16,496,22.77,26.23
F7 Corn Nitrogen,P15784AM,180,2,6,1,21.5,17.5,28,16,448,24.77,27.92
F7 Corn Nitrogen,P15784AM,180,2,6,2,20.0,13.5,16,16,256,22.97,27.81
F7 Corn Nitrogen,P15784AM,180,2,6,3,21.5,17.5,37,14,518,24.76,26.68
F7 Corn Nitrogen,P15784AM,180,2,6,4,21.0,15.0,27,18,486,24.53,24.78
F7 Corn Nitrogen,P15784AM,180,2,6,5,18.5,15.5,24,20,480,21.71,19.56
F7 Corn Nitrogen,P15784AM,180,1,7,1,24.5,17.0,29,16,464,24.22,26.58
F7 Corn Nitrogen,P15784AM,180,1,7,2,22.5,13.0,17,16,272,24.11,23.16
F7 Corn Nitrogen,P15784AM,180,1,7,3,22.5,15.0,32,20,640,23.01,17.72
F7 Corn Nitrogen,P15784AM,180,1,7,4,20.5,14.0,24,16,384,23.80,24.42
F7 Corn Nitrogen,P15784AM,180,1,7,5,20.5,13.0,20,18,360,23.70,22.18
F7 Corn Nitrogen,P15784AM,180,3,8,1,24.0,20.5,46,16,736,24.53,31.84
F7 Corn Nitrogen,P15784AM,180,3,8,2,23.0,20.0,42,18,756,25.27,33.66
F7 Corn Nitrogen,P15784AM,180,3,8,3,20.5,12.5,22,18,396,22.47,21.90
F7 Corn Nitrogen,P15784AM,180,3,8,4,21.5,17.5,36,16,576,22.35,23.16
F7 Corn Nitrogen,P15784AM,180,3,8,5,21.5,14.5,26,16,416,22.26,23.37
F7 Corn Nitrogen,P15784AM,180,2,9,1,18.0,15.5,32,18,576,24.68,22.17
F7 Corn Nitrogen,P15784AM,180,2,9,2,23.0,18.5,40,18,720,23.19,31.49
F7 Corn Nitrogen,P15784AM,180,2,9,3,22.5,17.0,40,16,640,22.71,28.06
F7 Corn Nitrogen,P15784AM,180,2,9,4,23.0,15.5,33,16,528,23.42,24.27
F7 Corn Nitrogen,P15784AM,180,2,9,5,19.0,13.0,23,16,368,23.39,28.56
F7 Corn Nitrogen,P15784AM,180,0,10,1,18.5,13.0,18,16,288,21.83,26.46
F7 Corn Nitrogen,P15784AM,180,0,10,2,20.5,14.5,29,14,406,19.24,21.06
F7 Corn Nitrogen,P15784AM,180,0,10,3,23.5,19.0,41,18,738,23.98,23.97
F7 Corn Nitrogen,P15784AM,180,0,10,4,16.5,14.0,21,14,294,22.53,23.96
F7 Corn Nitrogen,P15784AM,180,0,10,5,21.0,15.0,30,16,480,23.20,24.54
F7 Corn Nitrogen,P15784AM,180,3,11,1,24.0,16.5,31,16,496,25.26,26.24
F7 Corn Nitrogen,P15784AM,180,3,11,2,23.5,17.5,35,16,560,23.12,25.18
F7 Corn Nitrogen,P15784AM,180,3,11,3,23.0,16.5,32,18,576,23.97,22.13
F7 Corn Nitrogen,P15784AM,180,3,11,4,19.5,16.0,35,16,560,22.51,27.17
F7 Corn Nitrogen,P15784AM,180,3,11,5,20.0,14.0,24,18,432,23.87,21.55
F7 Corn Nitrogen,P15784AM,180,1,12,1,20.0,13.0,24,15,360,22.01,24.67
F7 Corn Nitrogen,P15784AM,180,1,12,2,18.5,12.0,24,16,384,23.14,24.00
F7 Corn Nitrogen,P15784AM,180,1,12,3,18.5,13.0,20,14,280,21.80,26.02
F7 Corn Nitrogen,P15784AM,180,1,12,4,20.0,13.5,22,16,352,26.38,22.61
F7 Corn Nitrogen,P15784AM,180,1,12,5,18.0,13.5,23,18,414,24.35,22.25
F7 Corn Nitrogen,P15784AM,120,0,13,1,18.0,12.5,23,14,322,22.34,24.16
F7 Corn Nitrogen,P15784AM,120,0,13,2,23.0,17.0,34,16,544,24.10,30.48
F7 Corn Nitrogen,P15784AM,120,0,13,3,26.0,18.5,41,16,656,24.13,28.39
F7 Corn Nitrogen,P15784AM,120,0,13,4,22.5,15.0,26,20,520,25.03,20.94
F7 Corn Nitrogen,P15784AM,120,0,13,5,19.5,17.5,27,18,486,23.85,27.64
F7 Corn Nitrogen,P15784AM,120,1,14,1,25.0,17.5,34,14,476,24.13,33.50
F7 Corn Nitrogen,P15784AM,120,1,14,2,28.0,18.0,31,14,434,25.86,20.38
F7 Corn Nitrogen,P15784AM,120,1,14,3,25.0,19.0,39,16,624,25.67,29.32
F7 Corn Nitrogen,P15784AM,120,1,14,4,20.0,13.0,25,16,400,21.17,19.82
F7 Corn Nitrogen,P15784AM,120,1,14,5,25.0,20.0,44,16,704,25.11,28.04
F7 Corn Nitrogen,P15784AM,120,3,15,1,22.5,16.0,27,16,432,23.66,27.85
F7 Corn Nitrogen,P15784AM,120,3,15,2,21.5,17.0,35,18,630,24.45,28.73
F7 Corn Nitrogen,P15784AM,120,3,15,3,21.5,15.5,24,16,384,24.51,25.08
F7 Corn Nitrogen,P15784AM,120,3,15,4,23.0,18.0,42,16,672,23.32,28.46
F7 Corn Nitrogen,P15784AM,120,3,15,5,24.0,20.0,42,16,672,24.62,29.72
F7 Corn Nitrogen,P15784AM,120,2,16,1,23.0,15.0,25,18,450,23.56,31.54
F7 Corn Nitrogen,P15784AM,120,2,16,2,20.0,14.0,33,18,594,20.33,16.75
F7 Corn Nitrogen,P15784AM,120,2,16,3,21.5,13.5,22,16,352,22.63,27.70
F7 Corn Nitrogen,P15784AM,120,2,16,4,22.5,15.0,25,16,400,24.01,28.08
F7 Corn Nitrogen,P15784AM,120,2,16,5,22.5,12.5,16,15,240,23.86,27.80
F7 Corn Nitrogen,P15784AM,120,3,17,1,25.5,20.5,43,16,688,24.29,33.39
F7 Corn Nitrogen,P15784AM,120,3,17,2,25.5,21.0,41,16,656,23.21,32.16
F7 Corn Nitrogen,P15784AM,120,3,17,3,22.0,18.0,38,16,608,24.25,27.68
F7 Corn Nitrogen,P15784AM,120,3,17,4,22.5,16.0,27,18,486,24.16,25.77
F7 Corn Nitrogen,P15784AM,120,3,17,5,17.0,12.5,22,18,396,23.29,24.53
F7 Corn Nitrogen,P15784AM,120,1,18,1,29.0,21.0,41,18,738,26.37,32.85
F7 Corn Nitrogen,P15784AM,120,1,18,2,25.0,17.5,37,16,592,24.97,31.24
F7 Corn Nitrogen,P15784AM,120,1,18,3,23.0,17.5,36,20,720,25.20,21.84
F7 Corn Nitrogen,P15784AM,120,1,18,4,20.5,15.5,35,16,560,22.68,23.89
F7 Corn Nitrogen,P15784AM,120,1,18,5,18.5,11.5,22,16,352,24.10,25.18
F7 Corn Nitrogen,P15784AM,120,0,19,1,18.5,15.5,30,18,540,23.46,22.61
F7 Corn Nitrogen,P15784AM,120,0,19,2,19.0,14.5,26,18,468,25.20,27.64
F7 Corn Nitrogen,P15784AM,120,0,19,3,24.5,19.5,44,16,704,23.83,27.73
F7 Corn Nitrogen,P15784AM,120,0,19,4,23.0,16.0,29,16,464,23.23,26.11
F7 Corn Nitrogen,P15784AM,120,0,19,5,21.5,17.0,37,16,592,23.08,27.28
F7 Corn Nitrogen,P15784AM,120,2,20,1,27.0,20.0,40,20,800,26.22,23.30
F7 Corn Nitrogen,P15784AM,120,2,20,2,24.5,21.5,46,18,828,27.04,29.91
F7 Corn Nitrogen,P15784AM,120,2,20,3,23.0,19.0,35,18,630,26.53,27.38
F7 Corn Nitrogen,P15784AM,120,2,20,4,21.0,12.5,26,16,416,23.79,25.02
F7 Corn Nitrogen,P15784AM,120,2,20,5,23.0,14.5,28,16,448,23.08,25.72
F7 Corn Nitrogen,P15784AM,180,2,21,1,23.0,16.5,32,18,576,24.43,22.98
F7 Corn Nitrogen,P15784AM,180,2,21,2,20.0,16.0,36,16,576,22.56,24.16
F7 Corn Nitrogen,P15784AM,180,2,21,3,23.0,17.0,35,18,630,24.60,24.68
F7 Corn Nitrogen,P15784AM,180,2,21,4,21.5,16.5,29,18,522,25.92,24.41
F7 Corn Nitrogen,P15784AM,180,2,21,5,21.0,11.5,22,16,352,23.86,24.33
F7 Corn Nitrogen,P15784AM,180,1,22,1,22.5,14.5,26,16,416,22.56,22.70
F7 Corn Nitrogen,P15784AM,180,1,22,2,21.5,13.5,25,16,400,22.61,24.79
F7 Corn Nitrogen,P15784AM,180,1,22,3,20.5,13.5,25,16,400,22.26,22.27
F7 Corn Nitrogen,P15784AM,180,1,22,4,19.0,11.5,15,14,210,23.23,22.60
F7 Corn Nitrogen,P15784AM,180,1,22,5,19.5,12.5,20,18,360,23.36,22.88
F7 Corn Nitrogen,P15784AM,180,3,23,1,21.0,14.0,25,16,400,22.64,23.70
F7 Corn Nitrogen,P15784AM,180,3,23,2,18.5,13.5,25,14,350,22.80,23.76
F7 Corn Nitrogen,P15784AM,180,3,23,3,24.0,18.5,32,18,576,23.96,22.86
F7 Corn Nitrogen,P15784AM,180,3,23,4,17.0,12.5,24,16,384,21.75,21.58
F7 Corn Nitrogen,P15784AM,180,3,23,5,18.0,13.0,24,18,432,24.40,23.32
F7 Corn Nitrogen,P15784AM,180,0,24,1,23.5,20.0,40,16,640,25.97,31.55
F7 Corn Nitrogen,P15784AM,180,0,24,2,18.0,14.0,26,16,416,24.62,24.14
F7 Corn Nitrogen,P15784AM,180,0,24,3,21.5,17.0,33,16,528,24.82,27.53
F7 Corn Nitrogen,P15784AM,180,0,24,4,20.5,15.5,31,20,620,23.96,26.93
F7 Corn Nitrogen,P15784AM,180,0,24,5,17.5,14.5,26,16,416,22.53,26.31
F7 Corn Nitrogen,P15784AM,180,1,25,1,21.0,15.0,32,16,512,22.72,25.06
F7 Corn Nitrogen,P15784AM,180,1,25,2,20.0,16.0,30,18,540,22.67,26.17
F7 Corn Nitrogen,P15784AM,180,1,25,3,22.5,20.0,42,16,672,24.72,30.26
F7 Corn Nitrogen,P15784AM,180,1,25,4,18.5,12.5,22,16,352,22.16,23.40
F7 Corn Nitrogen,P15784AM,180,1,25,5,21.0,15.5,32,16,512,21.99,23.32
F7 Corn Nitrogen,P15784AM,180,2,26,1,19.5,18.0,38,18,684,22.96,23.30
F7 Corn Nitrogen,P15784AM,180,2,26,2,20.5,14.0,27,16,432,22.20,24.44
F7 Corn Nitrogen,P15784AM,180,2,26,3,19.0,14.0,24,18,432,22.75,26.48
F7 Corn Nitrogen,P15784AM,180,2,26,4,18.0,14.0,26,18,468,22.74,23.52
F7 Corn Nitrogen,P15784AM,180,2,26,5,18.0,13.5,24,14,336,22.18,23.53
F7 Corn Nitrogen,P15784AM,180,0,27,1,22.0,18.0,33,18,594,26.25,25.86
F7 Corn Nitrogen,P15784AM,180,0,27,2,23.5,19.0,36,16,576,23.91,26.96
F7 Corn Nitrogen,P15784AM,180,0,27,3,20.0,14.5,25,14,350,22.86,24.65
F7 Corn Nitrogen,P15784AM,180,0,27,4,24.0,19.0,37,16,592,25.10,29.61
F7 Corn Nitrogen,P15784AM,180,0,27,5,17.5,11.5,20,16,320,22.23,28.65
F7 Corn Nitrogen,P15784AM,180,3,28,1,21.0,15.5,31,16,496,23.07,27.18
F7 Corn Nitrogen,P15784AM,180,3,28,2,22.0,17.5,31,18,558,23.92,28.74
F7 Corn Nitrogen,P15784AM,180,3,28,3,23.0,15.0,21,16,336,23.78,29.47
F7 Corn Nitrogen,P15784AM,180,3,28,4,23.0,14.5,26,18,468,24.93,23.98
F7 Corn Nitrogen,P15784AM,180,3,28,5,24.5,18.5,32,16,512,23.66,28.86
F7 Corn Nitrogen,P15784AM,120,1,29,1,21.0,17.0,35,18,630,22.77,29.39
F7 Corn Nitrogen,P15784AM,120,1,29,2,16.5,13.5,23,18,414,22.90,25.48
F7 Corn Nitrogen,P15784AM,120,1,29,3,19.5,16.5,31,14,434,21.77,27.17
F7 Corn Nitrogen,P15784AM,120,1,29,4,19.5,16.5,34,16,544,24.17,23.52
F7 Corn Nitrogen,P15784AM,120,1,29,5,17.0,14.5,30,16,480,20.28,21.82
F7 Corn Nitrogen,P15784AM,120,3,30,1,22.5,16.0,33,18,594,24.64,22.86
F7 Corn Nitrogen,P15784AM,120,3,30,2,24.0,16.0,35,16,560,23.96,30.31
F7 Corn Nitrogen,P15784AM,120,3,30,3,20.0,14.5,26,18,468,25.18,24.87
F7 Corn Nitrogen,P15784AM,120,3,30,4,20.5,13.5,20,16,320,23.03,26.35
F7 Corn Nitrogen,P15784AM,120,3,30,5,19.5,12.5,21,16,336,21.57,23.86
F7 Corn Nitrogen,P15784AM,120,2,31,1,20.0,13.0,23,16,368,24.33,25.79
F7 Corn Nitrogen,P15784AM,120,2,31,2,27.0,16.5,30,16,480,23.65,27.13
F7 Corn Nitrogen,P15784AM,120,2,31,3,21.5,16.0,33,16,528,22.69,25.66
F7 Corn Nitrogen,P15784AM,120,2,31,4,23.0,14.5,30,18,540,25.13,24.57
F7 Corn Nitrogen,P15784AM,120,2,31,5,28.0,19.0,37,18,666,28.70,24.97
F7 Corn Nitrogen,P15784AM,120,0,32,1,23.0,18.5,35,20,700,26.65,22.97
F7 Corn Nitrogen,P15784AM,120,0,32,2,13.0,10.0,19,14,266,22.54,25.32
F7 Corn Nitrogen,P15784AM,120,0,32,3,19.0,14.0,27,16,432,22.45,27.24
F7 Corn Nitrogen,P15784AM,120,0,32,4,27.0,20.0,46,16,736,23.65,32.91
F7 Corn Nitrogen,P15784AM,120,0,32,5,21.0,15.0,34,16,544,21.38,24.58
